c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033001_h_00.wav,A,0.00113,DRUNK,001,001
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033002_h_00.wav,A,0.00113,DRUNK,002,034
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033003_h_00.wav,A,0.00113,DRUNK,003,032
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033004_h_00.wav,A,0.00113,DRUNK,004,061
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033005_h_00.wav,A,0.00113,DRUNK,005,030
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033006_h_00.wav,A,0.00113,DRUNK,006,026
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033007_h_00.wav,A,0.00113,DRUNK,007,023
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033008_h_00.wav,A,0.00113,DRUNK,008,008
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033009_h_00.wav,A,0.00113,DRUNK,009,029
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033010_h_00.wav,A,0.00113,DRUNK,010,010
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033011_h_00.wav,A,0.00113,DRUNK,011,031
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033012_h_00.wav,A,0.00113,DRUNK,012,012
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033013_h_00.wav,A,0.00113,DRUNK,013,013
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033014_h_00.wav,A,0.00113,DRUNK,014,014
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033015_h_00.wav,A,0.00113,DRUNK,015,015
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033016_h_00.wav,A,0.00113,DRUNK,016,036
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033017_h_00.wav,A,0.00113,DRUNK,017,024
c:\Users\nagap\OneDrive\Documentos\Maestria\2025S\Phonetics TeamLab\ALC\ses3033,5323033018_h_00.wav,A,0.00113,DRUNK,018,038
